			Autor, Herausgeber oder Institution	Jahr ermittelt	Titel	Untertitel	Ort	Zeitschrift/Zeitung	Band	Nummer	Datum	Seiten von–bis	Laufnummer	Schlagwörter
WAHR	FALSCH	FALSCH	Stephan, Joachim	2000	Das älteste Stadtbuch Salzwedels als Quelle zur Sozial- und Wirtschaftsgeschichte der Hansestadt Salzwedel							48–54	8719	"14. Jh.; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Straube, Manfred	2015	Wirtschaftliche Frequenzen der Leipziger Großen Märkte/Messen	Statistische Zeugnisse aus den Leipziger Stadtrechnungen 1471/72 bis 1814/15	Leipzig		9				12955	"Rechnungsbuch; Stb - Stadtbuch"
WAHR	FALSCH	FALSCH	Suhle, Hermann	1883	Die Privilegien der Stadt Bernburg			Mitteilungen des Vereins für Anhaltische Geschichte und Altertumskunde	3			217–232	8593	Stb - Stadtbuch
FALSCH	FALSCH	FALSCH	Tandecki, Janusz	2014	Die mitt elalterlichen Thorner Bürgertestamente als Ego-Dokumente							65–84	14816	"Selbstzeugniss; Stb - Stadtbuch; Testament"
FALSCH	FALSCH	FALSCH	Verdenhalven, Fritz	1977	Bürgerbuch der Stadt Detmold von 1635 bis 1885		Detmold		7				13154	"17. Jh.; 18. Jh.; 19th century; Bürgerbuch; Bürgerlisten; Edition/Regest; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Verdenhalven, Fritz	1992	Bürgerbuch der Stadt Lügde von 1726 bis 1858		Detmold		20				13148	"Bürgerbuch; Stb - Stadtbuch"
WAHR	FALSCH	FALSCH	Vogeler, Georg	2014	Modelling digital edition of medieval and early modern accounting documents		Lausanne				2014		13566	"Rechnungsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Vogeler, Georg	2015	Digitale Edition von Wirtschaft s- und Rechnungsbüchern							307–328	13320	"Digitial Humanities; Rechnungsbuch; Stb - Stadtbuch; XML"
WAHR	FALSCH	FALSCH	Vogeler, Georg	2015	Warum werden mittelalterliche und frühneuzeitliche Rechnungsbücher eigentlich nicht digital ediert?								13196	"Digitial Humanities; Rechnungsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Voges, Hermann	1937	Das Bürgerbuch der Stadt Uelzen aus den Jahren 1601 bis 1737		Hildesheim [u.a.]						13161	"Bürgerbuch; Stb - Stadtbuch"
WAHR	FALSCH	FALSCH	Voit, Gustav	1967	Das Wachstafelzinsbuch der Reichsveste zu Nürnberg von etwa 1425 und das Reichslehenbuch der Herren von Berg aus dem Jahre 1396		Nürnberg		7				13406	"Edition/Regest; Stb - Stadtbuch; Wachstafel; Zinsbuch"
FALSCH	FALSCH	FALSCH	Wäschke, Hermann	1907	Die Zerbster Ratschronik [übersetzt von Hermann Wäschke] [1259-1445]		Dessau						7118	"Chronistik; Mitteldeutschland; Sachsen-Anhalt; Stb - Stadtbuch"
WAHR	FALSCH	FALSCH	Wendroth, Emil	1862	Statuten der Stadt Breslau von 1527/1534			Zeitschrift des Vereins für Geschichte und Alterthum Schlesiens	4			39–113	11871	"Edition/Regest; Statuten/Ordnungen/Willküren; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	"Wiesinger, Peter; Wich-Reif, Claudia"	2007	Textsorten und Textallianzen vom 16. bis zum 18. Jahrhundert	Beiträge zum Internationalen Sprachwissenschaftlichen Symposion in Wien 22. bis 24. September 2005	Berlin		8				13792	
FALSCH	FALSCH	FALSCH	Wiktorowicz, Józef	1995	Die deutsche Sprache in den Stadtbüchern Krakaus im 15. und 16. Jahrhundert							227–235	13789	"Germanistik; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Wiktorowicz, Józef	2007	Die Textsorte ‚Schuldbrief‘ in den Krakauer Stadtbüchern							51–58	13793	"Germanistik; Kredit; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	"Wirth-Jaillard, Aude; Musin, Aude; Demaret, Nathalie; Bodart, Emmanuel; Rousseaux, Xavier"	2015	Monuments ou documents? Les comptabilités, sources pour l’histoire du contrôle social (xiiie–xviiie siècles) – Monuments or documents? Accounts: Sources for the history of social control (13th–18th c.)	Actes du colloque international de Bruxelles (Archives Générales du Royaume, 13–15 décembre 2012) – Proceedings of the international conference of Brussels (States Archives, 13–15 december 2012)	Bruxelles		154				12965	"Rechnungsbuch; Stb - Stadtbuch"
