			Autor, Herausgeber oder Institution	Jahr ermittelt	Titel	Untertitel	Ort	Zeitschrift/Zeitung	Band	Nummer	Datum	Seiten von–bis	Laufnummer	Schlagwörter
WAHR	FALSCH	FALSCH	Chromik, Grzegorz	2013	Das Schöffenbuch von Markowa – ein Denkmal des frühneuhochdeutschen schlesischen Dialekts aus Polen im Vergleich mit Krzemienica und Bielitz [1590–1624]			ZVPG (Zeitschrift des Verbandes Polnischer Germanisten)	2	1		43–52	13783	"Germanistik; Schöffenbuch/Gerichtsbuch; Stb - Stadtbuch"
WAHR	FALSCH	FALSCH	Chromik, Grzegorz	2015	Entwicklung der Graphematik im Schöffenbuch von Markenhau/Markowa [1590–1624]			ZVPG (Zeitschrift des Verbandes Polnischer Germanisten)		4		247–260	13784	"Germanistik; Schöffenbuch/Gerichtsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Chrz?szcz, Johannes	1913/14	Das Stadtbuch der Stadt Neustadt O.-S. Eintragungen der Jahre 1542 bis 1607			Oberschlesien (Oberschlesien. Zeitschrift zur Pflege der Kenntnis und Vertretung der Interessen Oberschlesiens)	12			401-410, 525-529, 581–588	11781	"Edition/Regest; Polen; Stb-Stadtbuch"
WAHR	FALSCH	FALSCH	Chrz?szcz, Johannes	1927	Das schwarze Buch von Gleiwitz, 1. Teil: 1582–1612 [Nachträge bis 1738]			Gleiwitzer Jahrbuch				7–42	11782	"Edition/Regest; Gerichtsbuch; Gleiwitz; Stb-Stadtbuch"
FALSCH	FALSCH	FALSCH	Doubek, Franz A.	1931	Zum ältesten deutschen Schöffenbuch der Gemeinde Krzemienica [Teil 1]		Posen	Deutsche wissenschaftliche Zeitschrift für Polen		23		1–35	4123	"Schöffenbuch/Gerichtsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Doubek, Franz A.	1932	Zum ältesten deutschen Schöffenbuch der Gemeinde Krzemienica. Teil 2: Zur Sprache des Schöffenbuches		Posen	Deutsche wissenschaftliche Zeitschrift für Polen		24		1–46	10837	"Germanistik; Kanzleisprache; Schöffenbuch/Gerichtsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Doubek, Franz A.	1933	Zum ältesten deutschen Schöffenbuch der Gemeinde Krzemienica		Posen	Deutsche wissenschaftliche Zeitschrift für Polen		25		131–226	14808	"Schöffenbuch/Gerichtsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Duda, Barbara	1975	Linguistische Analyse der deutschen Sprache in den ältesten Stadtbüchern von Kraków		Kraków				1975		13786	"Germanistik; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Dunphy, Graeme	2010	Encyclopedia of the Medieval Chronicle, Bd. 1		"Leiden; Boston"						2763	"Chronistik; Historiographie"
FALSCH	FALSCH	FALSCH	Eisenhauer, Monika	2015	Quantitative Analyse mittelalterlicher Daten – ein methodischer Ansatz							293–306	13319	
