i-phone (GSM, GPRS, HSDPA, Mobile Applikationen für PDA, HTC Smartphone, Apple I-Phone, BlackBerry und PC) und IP-Technologien (IP-VPN und Konfiguration dieser Technologien sowie Kenntnisse im Bereich WindowsMobile.
aufstellungsplan Erstellung von Bauteilzeichnungen, Aufstellungsplänen und R+I-Schemata mit AutoCAD (Mechanical Desktop)
zivilrecht Es wäre daher wünschenswert, wenn Sie nach Ihrer abgeschlossenen Ausbildung bereits Erfahrungen im Zivilrecht sammeln konnten.
microsoft-anwendung Sehr gute Kenntnisse im Umgang mit Microsoft-Anwendungen
cross-development-tool Erfahrung im Umgang mit Cross-Development-Tools, Windows, Eclipse, Linux, RTOS  Erfahrung im Umgang mit Cross-Development-Tools, Windows, Eclipse, Linux, RTOS
abrechnungssystem Für unsere topmoderne neueröffnete Praxis suchen wir ab sofort im Bereich der Stuhlassistenz, eine/n aufgeschlossene/n, zuverlässige/n, verantwortungsbewußte/n Zahnmedizinische/n Fachangestellte/n mit sehr guten Kenntnissen im Abrechnungssystem!
stehschnellläufer Kommissionieren von Reifen mittels Flurförderfahrzeugen (Stehschnellläufer)
kühlgerät * Montieren und reparieren von Elektroherden, Backöfen, Waschmaschinen, Wäschetrocknern, Geschirrspüler und Kühlgeräten
ms-web-technologie Kenntnisse der IT-Struktur, Systemsoftware und MS-Web-Technologien
standard-applikationssoftwar Standard-Applikationssoftware und Windows Betriebssystemen
abap/oo oKenntnisse in einer der Programmiersprachen: SAP ABAP/4, ABAP/OO, Java oder C++
kreuzfahrschiff Baumaschinen und Landmaschinen, Windkraftanlagen und Kreuzfahrschiffe, Maschinen für die Lebensmittelindustrie, die Abfallwirtschaft, die Betonindustrie und die Holzbearbeitung ­ in den unterschiedlichsten Bereichen tun Schweißbaugruppen aus unserem Hause zuverlässig ihren Dienst.
kühlwagen Als Bewerber verfügen Sie über den Führerschein der Klasse C/CE und sind sicher im Umgang mit Sattelzügen, Hängerzügen und Kühlwagen.
winform Kenntnisse in C#, WinForms, WPF
zugfahrzeug innerbetrieblicher Transport mit Gabelstapler und Zugfahrzeug
achsvermessungsgerät Umgang mit Diagnosetechnik und Achsvermessungsgeräten
dienst-pkw Auslieferung der Speisen (Dienst-PKW wird gestellt)
ms.net Wir entwickeln in JAVA und MS.NET modulbasierte und individuell angepasste Software für öffentliche Verwaltungen und Non-Profit-Organisationen sowie Software-lösungen für Ressourcenplanung in Unternehmen (ERP-Systeme).
